6,342,MUNICIPAL BUILDINGS,EARLE STREET,CREWE,,CW1 2BJ,01270 686143
11,342,THE HUNTING LODGE,ADLINGTON HALL,ADLINGTON,MACCLESFIELD,SK10 4LF,01625 827595
14,805,THE CHAINBRIDGE HOTEL,BERWYN,LLANGOLLEN,DENBIGHSHIRE,LL20 8BS,01978 860215
17,371,THE ALVERTON,TREGOLLS ROAD,TRURO,CORNWALL,TR1 1ZQ,01872  276633
20,462,HERSTMONCEUX CASTLE,HAILSHAM,EAST SUSSEX,,BN27 1RP,01323 833816
24,452,THE OLD SHIP,31-38 KINGS ROAD,BRIGHTON,,BN1 1NR,01273 329001
29,681,DISSINGTON HALL,DALTON,PONTELAND,NEWCASTLE-UPON-TYNE,NE18 0AD,01661 886063
35,7,SADDLEWORTH HOTEL,HUDDERSFIELD ROAD,DELPH,SADDLEWORTH,OL3 5LX,01457 871888
38,796,CHISELDON HOUSE,NEW ROAD,CHISELDON,SWINDON,SN4 0NE,01793 741010
43,692,LANGAR HALL,LANGAR,NOTTINGHAMSHIRE,,NG13 9HG,01949 860559
46,538,ST MICHAEL'S MANOR,FISHPOOL STREET,ST ALBANS,,AL3 4RY,01727 864444
50,301,SS GREAT BRITAIN,GREAT WESTERN DOCK,GAS FERRY ROAD,BRISTOL,BS1 6TY,0117  9260680
55,371,ATLANTIC HOTEL,DANE ROAD,NEWQUAY,CORNWALL, TR7 1EN,01637 872244
58,564,LYMPNE CASTLE,LYMPNE,NEAR HYTHE,KENT,CT21 4LQ,01303 261666
61,564,TENTERDEN TOWN HALL,24 HIGH STREET,TENTERDEN,KENT,TN30 6AN,01580 762271
64,661,THE GRANGE HOTEL,1 CLIFTON,YORK,,YO3 6AA,01904 644744
68,785,EAST COURT,COLLEGE LANE,EAST GRINSTEAD,WEST SUSSEX,RH19 3LT,01342 323636
75,804,PLAS HAFOD HOTEL,HAFOD ROAD,"GWERNYMYNYDD, MOLD",FLINTSHIRE,CH7 5JS,01352 700177
79,387,THE GREENHILL HOTEL,RED DIAL,WIGTON,,CA7 8LS,016973 43304
83,342,SANDHOLE OAK BARN,SANDHOLE FARM,HULME,"WALFIELD, CONGLETON",CW12 2JH,01260 224215
87,748,PRESTON PRIORY BARN,PRIORY FARM,PRESTON ST MARY,"SUDBURY, SUFFOLK",CO10 9LT,01787 247251
91,422,THE HEADLAND HOTEL,DADDYHOLE ROAD,TORQUAY,,TQ1 2EF,01803 295666
95,488,FOREST OF DEAN GOLF CLUB,LORDS HILL,COLEFORD,GLOUCESTERSHIRE,GL16 8BE,01594 832583
